Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Final_Score
S2943,Emma,Jones,student1943@university.com,Male,18,CS,78.45,93.88,74.79,76.55,5.01,56.03,92.3,B,26.8,No,Yes,Master's,Low,7,7.9,97.3
S2131,Sara,Johnson,student1131@university.com,Female,22,CS,69.66,46.42,79.56,79.86,3.19,66.83,99.15,A,18.2,Yes,Yes,PhD,Low,4,6.4,85.03
S2863,Emma,Smith,student1863@university.com,Female,21,Mathematics,61.99,64.72,74.79,80.34,8.3,61.76,72.2,A,9.5,No,Yes,High School,Low,2,7.3,93.71
S2983,John,Johnson,student1983@university.com,Male,24,Business,86.07,94.19,94.7,73.99,5.11,73.25,69.74,A,15.6,Yes,Yes,High School,Low,2,7.2,40.65
S5930,Ahmed,Davis,student4930@university.com,Male,23,Engineering,61.19,50.38,75.03,75.1,9.96,94.92,74.86,D,26.2,No,Yes,Bachelor's,Medium,4,4.3,68.4
S2792,Omar,Johnson,student1792@university.com,Male,24,Business,76.29,87.09,80.74,69.87,9.48,68.01,54.59,C,28.0,No,Yes,Master's,Low,1,7.3,67.31
S5136,Maria,Jones,student4136@university.com,Male,24,Business,99.17,67.98,75.13,64.83,8.11,77.75,61.21,A,26.6,No,Yes,Master's,Low,4,6.6,82.8
S3807,Omar,Jones,student2807@university.com,Male,24,Business,77.74,50.63,69.95,74.21,5.54,77.34,73.31,A,28.7,No,No,Master's,Medium,6,9.0,52.7
S2100,John,Johnson,student1100@university.com,Female,22,CS,75.21,74.54,74.79,86.13,3.18,92.85,99.36,D,18.5,Yes,Yes,High School,High,5,7.9,81.93
S5752,Ahmed,Brown,student4752@university.com,Female,24,Engineering,55.11,71.05,52.21,90.59,3.44,74.66,59.36,F,22.4,No,Yes,PhD,Medium,1,5.3,61.7
S1467,Ali,Smith,student467@university.com,Female,19,Engineering,65.83,84.44,69.65,66.92,0.64,96.55,64.48,C,8.4,No,Yes,Bachelor's,Low,7,5.9,42.24
S1786,Omar,Williams,student786@university.com,Male,21,Mathematics,96.41,98.84,52.86,89.87,4.76,66.47,53.5,A,13.1,No,Yes,Bachelor's,Low,10,6.9,51.08
S1913,Sara,Williams,student913@university.com,Female,22,Engineering,84.95,50.37,51.35,78.54,0.5,85.32,94.4,A,24.7,No,Yes,PhD,Medium,10,8.4,80.29
S5711,Ahmed,Smith,student4711@university.com,Female,22,CS,55.25,68.92,91.58,98.81,1.94,84.95,50.62,D,25.9,No,Yes,Bachelor's,High,1,4.3,69.17
S2810,Sara,Williams,student1810@university.com,Male,20,CS,90.48,44.51,74.79,78.78,5.46,95.35,61.5,B,28.2,Yes,Yes,PhD,High,3,6.2,81.85
S1887,Emma,Brown,student887@university.com,Female,20,Business,81.53,95.81,81.77,53.43,7.16,73.35,50.64,A,26.6,No,Yes,PhD,High,5,4.4,98.61
S3696,Maria,Smith,student2696@university.com,Female,24,CS,72.86,83.97,89.71,66.71,0.71,97.85,53.93,F,16.7,No,Yes,PhD,Low,5,4.2,66.88
S3885,Ahmed,Davis,student2885@university.com,Female,21,CS,81.24,78.18,90.92,96.22,2.21,95.36,84.36,D,18.8,No,Yes,PhD,Medium,6,8.8,44.41
S1758,Ali,Brown,student758@university.com,Female,22,Engineering,97.71,75.38,99.69,54.22,2.18,65.85,70.38,A,28.9,No,No,PhD,Low,6,5.2,42.92
S1325,Emma,Smith,student325@university.com,Female,24,Mathematics,54.57,80.51,58.94,79.19,3.49,59.01,93.31,C,5.5,No,Yes,Master's,Medium,5,6.2,47.99
S5897,Ahmed,Williams,student4897@university.com,Female,23,Engineering,61.72,61.51,57.61,72.19,0.09,83.41,63.09,A,7.2,No,Yes,Bachelor's,Low,4,8.0,85.9
S1993,Maria,Brown,student993@university.com,Male,18,Engineering,93.1,84.39,84.74,76.93,7.7,93.09,91.59,A,26.5,No,Yes,PhD,Medium,2,7.9,59.93
S3982,Ali,Smith,student2982@university.com,Female,20,Engineering,97.66,46.4,74.79,52.24,1.98,67.63,59.44,A,27.8,Yes,Yes,PhD,Medium,10,4.8,57.55
S1552,Ahmed,Brown,student552@university.com,Male,20,CS,82.41,99.04,54.77,89.0,9.31,63.9,89.19,B,13.4,No,Yes,PhD,High,5,4.3,72.51
S4943,Emma,Jones,student3943@university.com,Male,21,CS,90.36,53.75,72.2,62.52,3.75,85.36,97.64,A,9.0,No,Yes,Master's,Medium,1,5.7,91.02
S4080,Omar,Jones,student3080@university.com,Female,23,Engineering,86.77,71.81,91.25,76.11,3.47,83.7,66.89,A,25.0,No,Yes,Bachelor's,Low,5,7.4,61.55
S4389,Sara,Davis,student3389@university.com,Male,20,Engineering,68.54,77.63,71.89,59.5,2.04,55.29,98.85,A,6.0,No,Yes,High School,Medium,9,6.8,82.18
S3780,John,Jones,student2780@university.com,Male,19,Business,88.0,98.82,66.86,50.2,0.59,92.46,65.7,A,11.9,No,Yes,PhD,Medium,2,5.7,71.62
S2880,Emma,Smith,student1880@university.com,Male,22,Business,68.98,63.75,74.79,50.32,5.0,96.96,97.78,D,15.7,Yes,Yes,High School,Medium,2,8.5,46.17
S2037,Omar,Smith,student1037@university.com,Female,24,Engineering,69.45,75.24,55.75,91.87,9.19,55.87,72.85,B,22.6,No,Yes,Master's,Low,6,8.5,47.14
S5259,John,Brown,student4259@university.com,Female,20,Business,74.18,81.57,74.79,98.12,7.89,82.16,81.55,D,27.9,No,Yes,PhD,Medium,1,5.0,89.76
S5075,Ahmed,Johnson,student4075@university.com,Female,22,CS,54.06,79.86,69.03,56.54,8.97,75.03,95.34,F,5.3,No,Yes,Bachelor's,Low,2,4.8,67.26
